Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,126,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Code"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,125,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Code
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,116,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Close_16xLG"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,115,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Close_16xLG
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,106,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""baseline_thumb_up_black_24dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,105,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap baseline_thumb_up_black_24dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,96,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""baseline_fingerprint_black_24dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,95,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap baseline_fingerprint_black_24dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,86,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""baseline_build_black_24dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,85,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap baseline_build_black_24dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,76,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""AttachOrDetach_7014"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
